,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
303,1,1,0,18.0,2,2,262.375,1,0,0
304,0,3,1,21.0,0,0,7.8,0,0,1
305,0,3,1,22.0,0,0,7.7958,0,0,1
306,1,3,1,3.0,4,2,31.3875,0,0,1
307,0,3,1,28.0,0,0,7.8958,0,0,1
308,1,1,0,36.0,1,2,120.0,0,0,1
309,0,3,1,18.0,1,1,20.2125,0,0,1
310,0,2,1,30.0,0,0,13.0,0,0,1
311,1,1,0,49.0,0,0,25.9292,0,0,1
312,1,2,0,34.0,0,1,23.0,0,0,1
313,1,1,1,28.0,0,0,26.55,0,0,1
314,1,2,0,27.0,0,0,10.5,0,0,1
315,0,3,1,16.0,1,1,20.25,0,0,1
316,0,3,0,29.0,0,4,21.075,0,0,1
317,0,3,1,28.0,1,0,24.15,0,1,0
318,1,1,1,52.0,0,0,30.5,0,0,1
319,1,2,0,23.0,0,0,13.7917,1,0,0
320,0,3,1,21.0,0,0,8.6625,0,0,1
321,0,3,1,20.0,0,0,7.8542,0,0,1
322,0,3,1,42.0,0,0,8.6625,0,0,1
323,0,1,1,31.0,0,0,50.4958,0,0,1
324,1,1,1,37.0,1,1,52.5542,0,0,1
325,0,1,1,28.0,0,0,27.7208,1,0,0
326,0,3,0,28.0,1,2,23.45,0,0,1
327,0,2,1,28.0,0,0,0.0,0,0,1
328,1,3,0,36.0,1,0,17.4,0,0,1
329,1,1,0,18.0,1,0,227.525,1,0,0
330,0,3,1,20.0,0,0,7.8542,0,0,1
331,0,3,0,26.0,1,0,16.1,0,0,1
332,1,1,0,28.0,1,0,82.1708,1,0,0
333,1,2,0,13.0,0,1,19.5,0,0,1
334,0,3,1,36.0,0,0,0.0,0,0,1
335,0,3,1,65.0,0,0,7.75,0,1,0
336,0,3,1,40.0,1,1,15.5,0,1,0
337,0,1,1,62.0,0,0,26.55,0,0,1
338,0,2,0,57.0,0,0,10.5,0,0,1
339,0,3,1,28.0,0,0,14.5,0,0,1
340,1,1,1,51.0,0,0,26.55,0,0,1
341,1,1,0,44.0,0,1,57.9792,1,0,0
342,0,3,1,28.0,0,0,8.05,0,0,1
343,0,3,0,18.0,2,0,18.0,0,0,1
344,1,3,1,29.0,0,0,9.5,0,0,1
345,0,2,1,36.5,0,2,26.0,0,0,1
346,1,2,1,3.0,1,1,26.0,0,0,1
347,0,1,1,28.0,0,0,0.0,0,0,1
348,0,2,1,48.0,0,0,13.0,0,0,1
349,0,3,1,8.0,4,1,29.125,0,1,0
350,0,2,1,47.0,0,0,15.0,0,0,1
351,0,3,1,24.0,0,0,9.5,0,0,1
352,1,3,0,19.0,0,0,7.8792,0,1,0
353,0,2,1,59.0,0,0,13.5,0,0,1
354,0,3,0,20.0,0,0,8.6625,0,0,1
355,0,3,1,30.5,0,0,8.05,0,0,1
356,1,3,1,28.0,0,0,7.75,0,1,0
357,1,3,1,1.0,1,2,20.575,0,0,1
358,1,1,1,35.0,0,0,26.2875,0,0,1
359,0,2,1,39.0,0,0,13.0,0,0,1
360,1,2,0,35.0,0,0,21.0,0,0,1
361,0,2,1,28.0,0,0,0.0,0,0,1
362,0,3,1,28.0,0,0,7.8958,0,0,1
363,1,3,0,28.0,0,0,7.75,0,1,0
364,1,2,1,1.0,0,2,37.0042,1,0,0
365,1,3,1,22.0,0,0,7.225,1,0,0
366,0,3,0,18.0,1,0,17.8,0,0,1
367,1,3,0,30.0,0,0,12.475,0,0,1
368,1,1,0,16.0,0,1,39.4,0,0,1
369,0,2,1,29.0,0,0,10.5,0,0,1
370,0,3,1,28.0,0,0,7.8958,0,0,1
371,0,1,1,64.0,0,0,26.0,0,0,1
372,0,3,1,28.0,1,0,15.5,0,1,0
373,0,3,1,1.0,4,1,39.6875,0,0,1
374,1,2,0,17.0,0,0,12.0,1,0,0
375,1,1,0,16.0,0,1,57.9792,1,0,0
376,0,3,1,21.0,0,0,7.25,0,0,1
377,0,3,1,21.0,0,0,7.8542,0,0,1
378,1,2,1,0.83,0,2,29.0,0,0,1
379,1,2,0,17.0,0,0,10.5,0,0,1
380,0,3,1,19.0,0,0,0.0,0,0,1
381,1,1,0,33.0,1,0,53.1,0,0,1
382,0,1,0,50.0,0,0,28.7125,1,0,0
383,1,3,1,9.0,0,2,20.525,0,0,1
384,0,3,1,20.5,0,0,7.25,0,0,1
385,1,3,1,32.0,0,0,7.925,0,0,1
386,0,3,0,28.0,0,2,15.2458,1,0,0
387,0,2,1,21.0,1,0,11.5,0,0,1
388,1,3,0,4.0,0,1,13.4167,1,0,0
389,0,2,1,25.0,0,0,13.0,0,0,1
390,1,1,1,28.0,0,0,26.55,0,0,1
391,0,3,1,25.0,0,0,7.8958,0,0,1
392,0,3,1,28.0,0,0,9.5,0,0,1
393,0,3,1,36.0,0,0,7.8958,0,0,1
394,0,3,1,47.0,0,0,7.25,0,0,1
395,1,1,1,25.0,1,0,55.4417,1,0,0
396,1,3,1,6.0,0,1,12.475,0,0,1
397,0,3,1,1.0,5,2,46.9,0,0,1
398,0,1,1,28.0,0,0,27.7208,1,0,0
399,0,1,1,60.0,0,0,26.55,0,0,1
400,0,3,1,28.0,0,0,7.8958,0,0,1
401,0,3,1,28.0,0,0,6.95,0,1,0
402,0,3,0,41.0,0,5,39.6875,0,0,1
403,1,3,0,16.0,0,0,7.7333,0,1,0
404,1,1,0,19.0,0,0,30.0,0,0,1
405,1,3,0,28.0,1,0,15.5,0,1,0
406,0,2,1,36.0,1,2,27.75,0,0,1
407,0,3,1,33.0,0,0,8.6542,0,0,1
408,0,3,1,4.0,4,2,31.275,0,0,1
409,1,1,1,42.0,0,0,26.2875,0,0,1
410,1,2,0,24.0,1,0,26.0,0,0,1
411,1,1,0,28.0,1,0,146.5208,1,0,0
412,1,3,0,1.0,1,1,11.1333,0,0,1
413,1,3,0,27.0,0,0,7.925,0,0,1
414,0,3,1,26.0,0,0,7.8958,0,0,1
415,1,3,0,28.0,0,0,7.8792,0,1,0
416,0,2,1,27.0,0,0,13.0,0,0,1
417,0,1,1,54.0,0,0,51.8625,0,0,1
418,0,3,1,38.0,0,0,8.6625,0,0,1
419,1,1,0,29.0,0,0,211.3375,0,0,1
420,0,2,1,44.0,1,0,26.0,0,0,1
421,1,2,0,34.0,0,0,10.5,0,0,1
422,1,2,0,8.0,0,2,26.25,0,0,1
423,0,3,1,28.0,0,0,7.75,0,1,0
424,0,3,1,17.0,0,0,8.6625,0,0,1
425,1,3,0,5.0,0,0,12.475,0,0,1
426,0,3,1,48.0,0,0,7.8542,0,0,1
427,0,1,1,50.0,1,0,106.425,1,0,0
428,0,2,1,34.0,1,0,21.0,0,0,1
429,0,3,1,2.0,4,1,29.125,0,1,0
430,1,1,0,63.0,1,0,77.9583,0,0,1
431,0,3,1,28.5,0,0,16.1,0,0,1
432,1,2,0,30.0,0,0,13.0,0,0,1
433,0,3,0,45.0,0,0,7.75,0,0,1
434,1,1,0,17.0,1,0,57.0,0,0,1
435,0,3,1,20.0,0,0,8.6625,0,0,1
436,1,3,1,28.0,0,0,56.4958,0,0,1
437,0,3,0,9.0,4,2,31.275,0,0,1
438,0,3,1,9.0,5,2,46.9,0,0,1
439,0,2,1,43.0,1,1,26.25,0,0,1
440,1,1,0,14.0,1,2,120.0,0,0,1
441,0,3,1,28.0,0,0,7.75,0,1,0
442,1,3,1,18.0,0,0,8.05,0,0,1
443,0,2,1,34.0,1,0,21.0,0,0,1
444,1,1,0,28.0,1,0,89.1042,1,0,0
445,0,3,1,28.0,0,0,7.05,0,0,1
446,1,3,1,28.0,0,0,8.1125,0,0,1
447,1,1,0,35.0,1,0,53.1,0,0,1
448,0,3,1,38.0,0,0,7.8958,0,0,1
449,0,3,1,14.0,4,1,39.6875,0,0,1
450,1,1,0,58.0,0,0,146.5208,1,0,0
451,1,2,1,28.0,0,0,13.0,0,0,1
452,1,2,0,24.0,2,1,27.0,0,0,1
453,0,3,1,28.0,3,1,25.4667,0,0,1
454,0,2,0,27.0,1,0,21.0,0,0,1
455,0,3,1,28.0,0,0,7.75,0,1,0
456,0,2,1,23.0,2,1,11.5,0,0,1
457,0,1,1,28.0,0,0,42.4,0,0,1
458,1,2,1,3.0,1,1,18.75,0,0,1
459,0,3,1,28.0,1,0,19.9667,0,0,1
460,1,1,0,40.0,0,0,153.4625,0,0,1
461,0,1,1,61.0,0,0,33.5,0,0,1
462,0,3,1,33.0,0,0,9.5,0,0,1
463,0,1,1,54.0,0,1,77.2875,0,0,1
464,1,2,0,28.0,0,0,12.35,0,1,0
465,0,3,1,27.0,0,0,7.8958,0,0,1
466,0,3,1,16.0,1,3,34.375,0,0,1
467,1,3,0,4.0,1,1,16.7,0,0,1
468,1,1,0,58.0,0,1,153.4625,0,0,1
469,0,3,1,25.0,0,0,7.05,0,0,1
470,0,3,1,28.0,0,0,14.4583,1,0,0
471,0,3,1,24.0,0,0,7.7958,0,0,1
472,1,1,0,24.0,0,0,69.3,1,0,0
473,0,2,1,30.0,0,0,13.0,0,0,1
474,1,2,0,24.0,1,2,65.0,0,0,1
475,0,1,1,29.0,1,0,66.6,0,0,1
476,0,3,1,36.0,1,0,15.55,0,0,1
477,1,1,0,28.0,1,0,51.8625,0,0,1
478,0,1,1,45.0,0,0,26.55,0,0,1
479,0,1,1,49.0,1,1,110.8833,1,0,0
480,0,3,1,18.0,0,0,7.7958,0,0,1
481,0,3,1,29.0,0,0,7.775,0,0,1
482,0,3,1,28.0,0,0,15.1,0,0,1
483,0,3,1,35.0,0,0,7.8958,1,0,0
484,0,3,1,28.0,0,0,7.775,0,0,1
485,0,3,0,2.0,0,1,10.4625,0,0,1
486,0,3,1,61.0,0,0,6.2375,0,0,1
487,1,1,0,49.0,1,0,76.7292,1,0,0
488,1,3,0,28.0,0,0,7.75,0,1,0
489,0,3,1,26.0,0,0,7.775,0,0,1
490,0,3,0,17.0,0,0,14.4583,1,0,0
491,0,3,1,42.0,0,0,7.65,0,0,1
492,1,3,0,28.0,0,0,7.2292,1,0,0
493,0,2,1,35.0,0,0,26.0,0,0,1
494,1,1,0,22.0,0,0,151.55,0,0,1
495,0,1,1,45.5,0,0,28.5,0,0,1
496,0,2,1,54.0,1,0,26.0,0,0,1
497,0,2,1,66.0,0,0,10.5,0,0,1
498,1,1,1,28.0,0,0,30.0,0,0,1
499,0,2,1,23.0,0,0,10.5,0,0,1
500,0,3,1,28.0,0,0,7.75,0,1,0
501,1,2,0,45.0,0,0,13.5,0,0,1
502,0,3,1,28.0,0,0,9.5,0,0,1
503,0,3,1,37.0,2,0,7.925,0,0,1
504,0,3,1,29.0,1,0,7.0458,0,0,1
505,0,2,1,29.0,1,0,21.0,0,0,1
506,1,3,1,19.0,0,0,8.05,0,0,1
507,1,3,1,39.0,0,0,7.925,0,0,1
508,0,2,1,36.0,0,0,12.875,1,0,0
509,0,1,1,38.0,0,0,0.0,0,0,1
510,0,3,0,9.0,2,2,34.375,0,0,1
511,1,2,1,28.0,0,0,13.8625,1,0,0
512,0,3,0,18.0,0,0,6.75,0,1,0
513,1,1,1,50.0,2,0,133.65,0,0,1
514,0,3,1,24.5,0,0,8.05,0,0,1
515,1,1,0,39.0,1,1,83.1583,1,0,0
516,1,1,0,28.0,0,0,110.8833,1,0,0
517,0,3,1,44.0,0,1,16.1,0,0,1
518,1,1,0,44.0,0,0,27.7208,1,0,0
519,0,1,1,28.0,0,0,31.0,0,0,1
520,0,3,1,35.0,0,0,8.05,0,0,1
521,0,3,1,24.0,0,0,7.4958,0,0,1
522,0,3,1,10.0,3,2,27.9,0,0,1
523,0,3,1,19.0,0,0,7.8958,0,0,1
524,0,3,1,43.0,0,0,8.05,0,0,1
525,1,2,0,50.0,0,1,26.0,0,0,1
526,0,3,1,41.0,2,0,14.1083,0,0,1
